ncategories,4,,,,,,,,,,
ncriteria,10,,,,,,,,,,
,,,,,,,,,,,
pt,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,assign
a1,2,1,1,2,1,1,2,2,1,1,1
a2,1,2,3,3,2,1,3,1,3,3,4
a3,3,3,2,1,2,2,3,3,3,3,4
a4,2,3,4,2,4,2,2,2,1,2,4
a5,1,2,1,2,2,2,2,1,1,2,2
a6,2,2,3,2,4,2,2,2,2,1,3
a7,2,2,2,2,2,1,2,2,2,1,3
a8,1,3,3,1,4,2,1,1,2,3,3
a9,2,2,1,1,3,1,1,3,1,1,2
a10,3,3,3,2,1,1,2,2,3,2,3
a11,3,2,2,2,4,1,3,1,2,3,2
a12,2,1,2,2,3,1,2,2,3,1,3
a13,2,1,1,3,3,1,2,2,2,2,2
a14,2,3,3,2,2,2,1,3,2,3,3
a15,3,3,3,2,1,1,2,2,3,2,3
a16,3,2,2,1,2,2,2,2,1,3,3
a17,2,1,2,2,3,1,2,2,3,1,2
a18,2,1,3,3,4,2,2,2,3,2,3
a19,2,3,2,1,2,2,2,2,2,3,4
a20,2,3,4,3,2,2,2,3,3,2,4
a21,2,1,1,2,1,1,2,2,1,1,2
a22,3,2,3,2,2,1,2,3,3,3,4
a23,2,3,3,1,1,2,3,2,1,1,3
a24,3,3,4,3,2,1,3,2,3,2,3
a25,3,2,2,1,1,2,3,1,1,3,3
a26,3,3,3,2,4,2,2,2,3,1,4
a27,1,2,2,3,3,2,2,1,1,2,3
a28,2,2,2,2,2,1,2,2,2,1,2
a29,2,2,2,1,3,2,2,2,3,3,4
a30,3,3,2,2,2,1,2,2,2,1,2
a31,2,3,2,2,2,1,3,3,1,2,3
a32,2,3,4,2,2,1,3,2,3,2,3
a33,2,3,2,1,2,2,2,2,2,3,4
a34,1,3,3,1,4,2,1,1,2,3,2
a35,2,3,4,2,4,2,2,2,1,2,2
a36,1,3,3,1,4,2,1,1,2,3,3
a37,2,2,3,2,4,2,2,2,2,1,2
a38,1,3,1,3,2,1,1,1,3,2,4
a39,1,2,1,1,4,1,1,1,2,1,2
a40,1,3,1,3,2,2,1,2,1,3,1
a41,2,3,3,2,3,1,3,2,2,3,4
a42,2,2,1,1,1,1,2,2,1,3,2
a43,2,2,2,1,3,2,2,2,3,3,4
a44,2,2,1,1,1,2,2,3,1,1,3
a45,3,1,1,3,2,2,3,3,1,2,2
a46,2,2,1,3,3,1,3,2,1,2,3
a47,2,3,2,1,2,1,2,1,2,3,2
a48,2,2,3,2,4,2,2,2,2,1,4
a49,2,3,1,3,4,1,2,1,2,3,3
a50,1,1,2,2,1,2,1,2,2,2,2
a51,1,1,1,2,1,1,3,3,1,1,2
a52,3,2,1,3,3,1,1,3,3,2,2
a53,2,3,3,2,3,1,3,2,2,3,3
a54,2,3,3,2,3,1,3,2,2,3,4
a55,2,1,3,3,2,2,3,2,2,3,4
a56,1,3,1,2,3,1,2,2,2,2,3
a57,2,1,3,3,2,2,3,2,2,3,3
a58,3,1,1,3,2,2,3,3,1,2,2
a59,2,3,2,2,2,1,3,3,1,2,3
a60,2,3,4,3,2,2,2,3,3,2,4
a61,1,2,1,1,4,1,1,1,2,1,3
a62,2,3,2,2,2,1,3,2,2,1,2
a63,3,3,1,1,4,1,2,3,3,3,3
a64,2,3,4,2,4,2,2,2,1,2,4
a65,2,2,2,2,2,1,2,3,1,3,3
a66,3,3,2,3,2,1,2,2,2,2,3
a67,3,3,3,2,1,1,2,2,3,2,3
a68,2,2,1,3,2,2,1,3,1,1,3
a69,3,3,4,3,2,1,3,2,3,2,3
a70,1,2,1,1,1,1,1,1,1,1,2
a71,2,2,2,1,1,1,1,3,2,3,2
a72,2,2,2,1,1,1,1,3,2,3,2
a73,2,1,1,2,2,1,2,1,1,3,2
a74,3,2,3,2,2,1,2,3,3,3,3
a75,1,2,2,1,1,2,1,2,1,2,2
a76,2,1,1,3,3,1,2,2,2,2,2
a77,2,3,4,2,2,1,3,2,3,2,3
a78,2,1,1,1,1,1,1,2,2,2,2
a79,2,3,2,3,3,2,1,1,2,1,2
a80,1,2,1,1,4,1,1,1,2,1,2
a81,3,3,3,2,1,1,2,2,3,2,3
a82,2,2,4,2,2,2,2,2,3,3,4
a83,2,1,3,3,4,2,2,2,3,2,3
a84,2,3,3,2,2,2,1,3,2,3,4
a85,1,2,2,3,1,1,1,2,2,2,3
a86,2,1,1,3,3,1,2,2,2,2,2
a87,1,3,3,2,2,1,2,3,2,1,3
a88,1,3,2,1,2,2,1,1,2,1,1
a89,2,3,4,1,3,2,2,1,2,2,2
a90,2,3,3,2,2,2,3,2,3,3,4
a91,1,3,2,1,2,2,1,1,2,1,2
a92,2,2,1,3,2,2,1,3,1,1,2
a93,1,2,1,2,1,1,1,3,1,1,2
a94,1,1,2,2,1,2,1,2,2,2,2
a95,2,1,3,3,4,2,2,2,3,2,2
a96,2,3,2,3,3,2,1,1,2,1,2
a97,2,3,3,1,1,2,1,3,2,2,3
a98,2,2,4,3,2,2,2,1,3,1,3
a99,2,3,2,2,2,1,3,3,1,2,2
a100,2,2,3,2,4,2,2,2,2,1,4
a101,2,1,2,3,2,2,2,3,3,2,4
a102,1,2,4,1,3,1,1,3,2,2,3
a103,1,3,4,1,4,2,1,3,1,1,3
a104,3,3,3,1,4,2,2,2,2,3,4
a105,1,2,1,2,2,2,2,1,1,2,1
a106,2,3,2,2,2,1,3,2,2,1,3
a107,1,2,1,2,1,1,1,3,1,1,2
a108,3,3,2,3,2,1,2,2,2,2,3
a109,2,3,2,2,2,1,3,2,2,1,2
a110,2,3,4,2,2,1,3,2,3,2,3
a111,1,2,4,1,3,1,1,3,2,2,3
a112,2,1,2,2,3,1,2,2,3,1,3
a113,2,2,2,3,2,2,2,3,1,2,3
a114,1,2,2,3,3,2,2,1,1,2,4
a115,3,3,2,3,2,1,2,2,2,2,3
a116,2,2,2,1,3,2,2,2,3,3,4
a117,2,2,1,2,3,1,1,2,3,2,2
a118,1,3,1,3,2,1,1,1,3,2,3
a119,3,2,4,1,2,1,3,2,2,2,4
a120,1,3,1,3,1,1,1,3,2,2,2
a121,2,2,4,3,2,2,2,1,3,1,3
a122,3,3,3,3,3,1,1,2,3,3,3
a123,2,1,1,3,2,1,2,1,1,3,3
a124,2,2,2,2,2,1,2,3,1,3,2
a125,1,1,1,2,1,1,3,3,1,1,2
a126,1,1,2,3,3,2,2,3,1,3,4
a127,2,1,1,1,2,1,1,1,1,3,2
a128,3,3,3,2,4,2,2,2,3,1,4
a129,3,2,3,3,1,2,3,1,2,2,2
a130,1,1,2,1,1,1,2,2,1,2,3
a131,2,2,1,1,3,1,1,3,1,1,2
a132,2,2,3,1,1,2,2,2,1,3,3
a133,3,2,3,1,1,1,1,2,3,1,2
a134,3,3,4,3,3,2,2,2,3,3,4
a135,1,3,2,2,1,1,1,2,3,2,3
a136,2,3,3,1,1,2,1,3,2,2,3
a137,2,1,2,1,4,1,2,1,2,3,4
a138,2,3,3,2,3,1,3,2,2,3,3
a139,1,3,1,3,1,1,1,3,2,2,2
a140,1,3,1,3,2,1,1,1,3,2,2
a141,2,2,4,3,3,2,3,2,3,3,4
a142,2,3,2,2,2,1,3,3,1,2,2
a143,3,1,1,3,2,2,3,3,1,2,2
a144,3,3,3,3,3,1,1,2,3,3,4
a145,1,2,1,1,4,1,1,1,2,1,2
a146,3,3,2,1,2,2,3,3,3,3,4
a147,2,3,3,1,1,2,1,3,2,2,3
a148,2,1,1,3,1,1,3,3,3,1,2
a149,3,2,1,3,3,1,1,3,3,2,3
a150,2,2,1,1,3,1,1,3,1,1,3
a151,2,3,2,2,2,1,3,3,1,2,3
a152,2,3,3,1,1,2,1,3,2,2,3
a153,3,2,2,1,2,2,2,2,1,3,4
a154,2,2,1,2,3,1,2,2,2,1,2
a155,1,1,1,3,1,2,1,1,2,3,1
a156,2,2,2,3,2,2,2,3,1,2,3
a157,3,1,1,1,3,1,2,1,2,3,3
a158,2,3,2,2,2,1,3,2,2,1,3
a159,3,3,4,3,2,1,3,2,3,2,4
a160,3,1,1,3,2,2,3,3,1,2,3
a161,3,2,4,1,2,1,3,2,2,2,3
a162,2,1,1,1,2,1,1,1,2,1,1
a163,1,2,2,3,3,2,2,1,1,2,3
a164,1,3,3,2,4,1,1,3,3,3,4
a165,3,3,1,1,4,1,2,3,3,3,3
a166,2,3,3,2,3,1,3,2,2,3,3
a167,1,2,2,3,3,2,2,1,1,2,3
a168,2,2,2,1,3,2,2,2,3,3,3
a169,3,1,1,1,3,1,2,1,2,3,1
a170,3,3,3,2,4,2,2,2,3,1,4
a171,1,3,1,3,2,2,1,2,1,3,2
a172,2,3,4,2,2,1,3,2,3,2,4
a173,3,3,4,1,4,2,3,3,3,2,3
a174,3,1,1,3,2,2,3,3,1,2,2
a175,1,1,1,2,1,1,3,3,1,1,2
a176,2,2,3,1,1,2,2,2,1,3,2
a177,3,2,3,1,1,1,1,2,3,1,2
a178,2,1,2,3,2,2,2,3,3,2,3
a179,2,1,2,2,3,1,2,2,3,1,2
a180,1,3,4,1,3,2,3,1,1,3,3
a181,2,2,1,3,2,2,1,3,1,1,2
a182,1,3,1,3,1,1,1,3,2,2,2
a183,2,1,3,3,4,2,2,2,3,2,3
a184,2,3,4,3,2,2,2,3,3,2,3
a185,3,1,2,1,3,2,2,3,2,2,3
a186,1,2,4,1,3,1,1,3,2,2,3
a187,2,1,1,2,2,1,2,1,1,3,2
a188,2,1,3,3,4,2,2,2,3,2,3
a189,1,3,1,2,3,1,2,2,2,2,2
a190,3,3,2,1,2,2,3,3,3,3,2
a191,2,3,3,1,1,2,1,3,2,2,3
a192,1,3,4,1,3,2,3,1,1,3,3
a193,1,2,1,1,1,1,1,1,1,1,1
a194,1,3,2,1,2,2,1,1,2,1,2
a195,3,3,3,2,4,2,2,2,3,1,3
a196,1,1,2,3,3,2,2,3,1,3,3
a197,1,3,2,2,1,1,1,2,3,2,2
a198,1,3,1,1,1,1,1,2,3,3,1
a199,2,3,3,2,3,1,3,2,2,3,3
a200,3,2,2,3,2,1,1,2,3,3,3
a201,3,3,4,1,4,2,3,3,3,2,3
a202,2,3,4,2,2,1,3,2,3,2,3
a203,3,1,1,3,3,2,2,2,3,3,4
a204,2,2,3,2,2,2,2,2,2,3,3
a205,1,2,2,3,3,2,2,1,1,2,2
a206,2,2,3,2,2,2,2,2,2,3,4
a207,3,2,2,3,1,1,3,1,3,3,3
a208,1,2,2,2,2,1,3,1,2,1,3
a209,1,3,3,1,4,2,1,1,2,3,2
a210,3,3,4,3,4,2,3,3,3,3,3
a211,2,1,3,3,2,2,3,2,2,3,4
a212,3,2,2,1,1,2,3,1,1,3,1
a213,2,3,1,3,4,1,2,1,2,3,2
a214,3,1,1,1,3,1,2,1,2,3,3
a215,2,2,4,3,3,2,3,2,3,3,4
a216,3,1,1,1,3,1,2,1,2,3,2
a217,2,3,2,1,2,2,2,2,2,3,3
a218,1,1,2,1,1,1,2,2,1,2,2
a219,2,3,3,1,1,2,1,3,2,2,2
a220,2,3,2,1,2,2,2,2,2,3,4
a221,2,1,3,2,3,1,2,1,3,2,2
a222,1,3,2,2,1,1,1,2,3,2,2
a223,2,2,3,2,4,2,2,2,2,1,3
a224,3,2,3,1,1,1,1,2,3,1,3
a225,1,2,2,3,3,2,2,1,1,2,4
a226,3,2,1,2,3,2,1,3,1,1,3
a227,1,2,1,3,1,1,1,1,3,2,2
a228,2,2,3,2,4,2,2,2,2,1,3
a229,1,3,4,1,3,2,3,1,1,3,3
a230,1,3,1,3,2,1,1,1,3,2,2
a231,1,1,1,3,1,2,1,1,2,3,2
a232,2,2,3,2,4,2,2,2,2,1,3
a233,3,2,4,1,2,1,3,2,2,2,4
a234,3,3,2,2,2,1,2,2,2,1,3
a235,2,2,1,3,3,1,3,2,1,2,2
a236,1,2,2,3,3,2,2,1,1,2,2
a237,2,1,1,1,2,1,1,1,2,1,2
a238,2,1,3,3,4,2,2,2,3,2,4
a239,1,2,1,1,4,1,1,1,2,1,2
a240,1,3,4,3,3,2,2,3,1,3,3
a241,2,3,2,1,2,1,2,1,2,3,3
a242,3,2,2,1,2,2,2,2,1,3,2
a243,1,3,1,3,2,1,1,1,3,2,2
a244,2,1,1,2,1,1,2,2,1,1,2
a245,1,2,2,2,2,1,3,1,2,1,2
a246,1,2,2,1,1,2,1,2,1,2,2
a247,3,3,3,3,3,1,1,2,3,3,3
a248,1,1,2,1,1,1,2,2,1,2,2
a249,3,3,4,3,3,2,2,2,3,3,4
a250,2,3,2,3,3,2,1,1,2,1,2
a251,1,2,4,3,1,1,3,2,2,3,3
a252,2,3,4,2,2,1,3,2,3,2,3
a253,3,3,4,3,3,2,2,2,3,3,4
a254,2,3,4,2,4,2,2,2,1,2,4
a255,2,3,3,2,3,1,3,2,2,3,4
a256,2,1,2,1,4,1,2,1,2,3,4
a257,3,3,2,3,4,1,2,2,3,3,4
a258,2,1,3,3,2,2,3,2,2,3,3
a259,3,2,3,2,2,1,2,3,3,3,4
a260,1,1,2,1,1,1,2,2,1,2,2
a261,2,1,1,3,1,1,3,3,3,1,2
a262,1,3,2,1,2,2,1,1,2,1,3
a263,3,2,2,2,4,1,3,1,2,3,3
a264,1,3,4,3,3,2,2,3,1,3,4
a265,1,3,1,1,1,1,1,2,3,3,2
a266,2,1,1,2,2,1,2,1,1,3,2
a267,1,3,3,1,4,2,1,1,2,3,4
a268,3,3,4,1,4,2,3,3,3,2,4
a269,3,2,2,1,2,2,2,2,1,3,4
a270,3,2,1,2,3,2,1,3,1,1,3
a271,2,1,1,3,2,1,2,1,1,3,2
a272,2,2,2,2,2,1,2,2,2,1,2
a273,3,3,2,3,2,1,2,2,2,2,3
a274,2,3,3,1,1,2,1,3,2,2,2
a275,1,2,2,1,1,2,1,2,1,2,2
a276,2,1,1,3,3,1,2,2,2,2,2
a277,1,3,1,1,1,1,1,2,3,3,3
a278,1,2,1,3,1,1,1,1,3,2,2
a279,3,2,2,3,2,1,1,2,3,3,3
a280,3,2,4,1,2,1,3,2,2,2,4
a281,3,2,1,1,2,1,2,2,1,3,2
a282,3,1,2,1,3,2,2,3,2,2,3
a283,1,1,1,3,1,2,1,1,2,3,2
a284,3,3,2,3,2,1,2,2,2,2,2
a285,1,2,1,2,2,2,2,1,1,2,2
a286,2,2,1,2,3,1,2,2,2,1,3
a287,1,3,3,2,2,2,2,1,3,1,4
a288,3,2,3,3,1,2,3,1,2,2,3
a289,2,3,4,2,4,2,2,2,1,2,3
a290,1,2,2,1,1,2,1,2,1,2,2
a291,2,3,4,2,2,1,3,2,3,2,3
a292,2,1,3,2,3,1,2,1,3,2,3
a293,3,3,3,3,3,1,1,2,3,3,4
a294,3,3,2,2,2,1,2,2,2,1,3
a295,2,1,1,3,1,1,3,3,3,1,2
a296,1,2,2,3,3,2,2,1,1,2,2
a297,2,3,4,2,4,2,2,2,1,2,3
a298,3,3,3,2,1,1,2,2,3,2,3
a299,2,1,1,1,1,1,1,2,2,2,2
a300,3,2,3,1,1,1,1,2,3,1,3
a301,1,1,2,2,1,2,1,2,2,2,3
a302,3,2,1,3,3,1,1,3,3,2,2
a303,1,2,4,3,1,1,3,2,2,3,4
a304,2,3,3,1,1,2,3,2,1,1,2
a305,3,2,4,1,2,1,3,2,2,2,2
a306,2,2,3,1,1,2,2,2,1,3,3
a307,1,3,2,2,1,1,1,2,3,2,3
a308,1,2,2,1,1,2,1,2,1,2,3
a309,2,3,4,1,3,2,2,1,2,2,3
a310,1,3,3,2,4,1,1,3,3,3,3
a311,3,3,4,3,2,1,3,2,3,2,3
a312,2,2,1,2,3,1,1,2,3,2,2
a313,3,1,2,1,3,2,2,3,2,2,3
a314,2,3,2,1,2,1,2,1,2,3,3
a315,2,2,1,1,3,1,1,1,1,1,3
a316,1,2,3,3,2,1,3,1,3,3,4
a317,3,3,4,3,4,2,3,3,3,3,4
a318,1,1,2,2,1,2,1,2,2,2,2
a319,1,3,4,1,4,2,1,3,1,1,3
a320,2,2,2,1,3,2,2,2,3,3,4
a321,1,1,2,1,1,1,2,2,1,2,3
a322,1,2,1,3,1,1,1,1,3,2,2
a323,2,3,3,2,2,2,3,2,3,3,3
a324,3,2,2,1,1,2,3,1,1,3,1
a325,2,3,2,2,2,1,3,3,1,2,3
a326,2,2,4,2,2,2,2,2,3,3,4
a327,2,2,1,2,3,1,2,2,2,1,2
a328,3,3,3,2,4,2,2,2,3,1,3
a329,3,1,1,3,3,2,2,2,3,3,4
a330,3,3,2,3,4,1,2,2,3,3,4
a331,2,2,4,3,3,2,3,2,3,3,4
a332,3,3,3,2,1,1,2,2,3,2,2
a333,1,2,3,3,2,1,3,1,3,3,2
a334,2,3,3,1,1,2,3,2,1,1,2
a335,2,1,2,2,3,1,2,2,3,1,2
a336,1,3,3,2,4,1,1,3,3,3,3
a337,1,2,1,2,1,1,1,3,1,1,2
a338,2,1,2,3,2,2,2,3,3,2,3
a339,2,1,3,3,2,2,3,2,2,3,3
a340,3,3,2,3,4,1,2,2,3,3,4
a341,2,1,2,3,2,2,2,3,3,2,2
a342,3,2,2,3,2,1,1,2,3,3,4
a343,1,2,1,3,1,1,1,1,3,2,2
a344,2,2,4,2,2,2,2,2,3,3,4
a345,1,2,1,2,2,2,2,1,1,2,3
a346,2,2,2,2,2,1,2,3,1,3,3
a347,2,3,3,2,3,1,3,2,2,3,2
a348,1,3,3,1,4,2,1,1,2,3,2
a349,3,2,3,2,2,1,2,3,3,3,4
a350,3,2,3,1,1,1,1,2,3,1,3
a351,1,2,1,2,2,2,2,1,1,2,2
a352,3,3,4,3,4,1,3,2,3,3,4
a353,2,2,2,2,2,1,2,2,2,1,4
a354,2,3,2,1,2,2,2,2,2,3,3
a355,1,3,1,2,3,1,2,2,2,2,3
a356,2,2,1,2,3,1,2,2,2,1,3
a357,3,3,4,3,2,1,3,2,3,2,4
a358,2,2,4,3,3,2,3,2,3,3,4
a359,2,2,1,1,3,1,1,3,1,1,2
a360,2,1,2,2,3,1,2,2,3,1,4
a361,3,3,4,1,4,2,3,3,3,2,4
a362,3,2,2,3,2,1,1,2,3,3,3
a363,2,1,1,2,2,1,2,1,1,3,2
a364,3,2,1,2,3,2,1,3,1,1,2
a365,3,3,4,3,4,1,3,2,3,3,4
a366,1,3,4,1,3,2,3,1,1,3,4
a367,2,2,1,3,3,1,3,2,1,2,2
a368,3,3,3,2,1,1,3,3,1,1,3
a369,1,3,1,3,2,2,1,2,1,3,2
a370,3,1,1,3,3,2,2,2,3,3,2
a371,1,3,3,1,2,1,2,2,2,3,4
a372,1,3,4,1,3,2,3,1,1,3,3
a373,2,1,1,3,2,1,2,1,1,3,1
a374,1,1,1,2,1,1,3,3,1,1,2
a375,2,2,1,2,3,1,1,2,3,2,3
a376,2,3,3,1,1,2,3,2,1,1,3
a377,1,3,1,3,1,1,1,3,2,2,3
a378,2,3,3,1,1,2,1,3,2,2,3
a379,3,3,4,3,2,1,3,2,3,2,4
a380,2,1,1,2,1,1,2,2,1,1,2
a381,3,1,1,3,2,2,3,3,1,2,3
a382,3,3,2,2,2,1,2,2,2,1,3
a383,3,1,1,3,2,2,3,3,1,2,2
a384,1,2,4,3,1,1,3,2,2,3,4
a385,1,3,2,1,2,2,1,1,2,1,3
a386,3,3,2,3,4,2,2,3,2,3,4
a387,3,3,2,3,4,1,2,2,3,3,4
a388,2,3,4,1,3,2,2,1,2,2,4
a389,2,1,1,1,2,1,1,1,1,3,2
a390,2,2,2,1,4,2,1,3,1,2,3
a391,2,3,4,1,3,2,2,1,2,2,4
a392,3,1,1,1,3,1,2,1,2,3,2
a393,3,2,3,3,1,2,3,1,2,2,2
a394,2,1,2,1,4,1,2,1,2,3,3
a395,3,2,3,3,1,2,3,1,2,2,3
a396,2,2,3,2,2,2,2,2,2,3,2
a397,2,1,2,1,4,1,2,1,2,3,3
a398,1,1,2,2,1,2,1,2,2,2,2
a399,1,3,1,3,1,1,1,3,2,2,2
a400,3,2,1,1,2,1,2,2,1,3,2
a401,2,3,2,2,2,1,3,3,1,2,3
a402,1,3,3,2,2,2,2,1,3,1,3
a403,3,3,1,1,4,1,2,3,3,3,3
a404,3,2,4,1,2,1,3,2,2,2,3
a405,1,3,1,2,3,1,2,2,2,2,2
a406,3,2,2,3,1,1,3,1,3,3,4
a407,2,2,3,2,4,2,2,2,2,1,2
a408,1,2,3,3,2,1,3,1,3,3,3
a409,2,3,3,2,4,1,3,2,3,1,2
a410,2,2,4,3,3,2,3,2,3,3,4
a411,1,1,2,1,1,1,2,2,1,2,2
a412,2,1,1,3,1,1,3,3,3,1,2
a413,2,1,3,3,2,2,3,2,2,3,3
a414,2,2,2,1,3,2,2,2,3,3,3
a415,2,3,2,1,2,2,2,2,2,3,3
a416,3,3,4,1,4,2,3,3,3,2,4
a417,3,3,4,1,4,2,3,3,3,2,4
a418,3,2,1,3,3,1,1,3,3,2,3
a419,1,1,2,1,1,1,2,2,1,2,2
a420,1,2,1,2,2,2,2,1,1,2,3
a421,3,2,1,2,3,2,1,3,1,1,3
a422,2,2,1,3,2,2,1,3,1,1,3
a423,2,1,3,3,4,2,2,2,3,2,3
a424,1,3,4,1,3,2,3,1,1,3,3
a425,3,2,2,1,1,2,3,1,1,3,3
a426,2,3,2,2,2,1,3,2,2,1,3
a427,2,2,4,3,2,2,2,1,3,1,4
a428,2,1,3,2,3,1,2,1,3,2,3
a429,2,2,1,2,3,1,1,2,3,2,3
a430,3,3,2,3,2,1,2,2,2,2,2
a431,2,3,1,3,4,1,2,1,2,3,3
a432,1,3,2,1,2,2,1,1,2,1,2
a433,1,3,3,1,2,1,2,2,2,3,4
a434,3,2,2,3,1,1,3,1,3,3,2
a435,2,1,1,2,1,1,2,2,1,1,2
a436,1,2,1,3,1,1,1,1,3,2,2
a437,1,3,2,1,2,2,1,1,2,1,2
a438,3,3,3,1,4,2,2,2,2,3,3
a439,2,1,1,3,3,1,2,2,2,2,2
a440,2,3,4,2,2,1,3,2,3,2,2
a441,3,2,2,3,2,1,1,2,3,3,4
a442,3,3,1,1,4,1,2,3,3,3,4
a443,3,3,4,3,4,1,3,2,3,3,4
a444,2,2,2,2,2,1,2,3,1,3,4
a445,2,2,1,3,2,2,1,3,1,1,3
a446,2,2,1,1,1,2,2,3,1,1,2
a447,3,2,1,1,2,1,2,2,1,3,2
a448,1,3,1,3,1,1,1,3,2,2,2
a449,2,2,3,1,1,2,2,2,1,3,3
a450,3,3,3,2,4,2,2,2,3,1,4
a451,2,2,1,1,3,1,1,3,1,1,2
a452,3,2,4,1,2,1,3,2,2,2,3
a453,2,3,1,3,4,1,2,1,2,3,3
a454,2,2,1,3,3,1,3,2,1,2,2
a455,2,3,2,1,2,2,2,2,2,3,2
a456,1,2,4,1,3,1,1,3,2,2,3
a457,1,3,1,3,2,1,1,1,3,2,3
a458,3,3,3,2,1,1,3,3,1,1,2
a459,2,3,2,1,2,2,2,2,2,3,3
a460,2,1,1,3,3,1,2,2,2,2,2
a461,2,3,2,1,2,1,2,1,2,3,3
a462,3,2,3,3,1,2,3,1,2,2,3
a463,2,3,2,2,2,1,3,2,2,1,4
a464,1,1,2,3,3,2,2,3,1,3,3
a465,2,3,2,2,2,1,3,3,1,2,3
a466,2,1,1,3,3,1,2,2,2,2,2
a467,2,1,3,3,2,2,3,2,2,3,3
a468,2,2,3,2,2,2,2,2,2,3,4
a469,3,1,1,3,3,2,2,2,3,3,3
a470,2,1,1,2,2,1,2,1,1,3,2
a471,1,3,3,2,4,1,1,3,3,3,4
a472,2,2,1,1,3,1,1,3,1,1,2
a473,3,3,4,1,4,2,3,3,3,2,2
a474,3,2,1,1,2,1,2,2,1,3,2
a475,2,2,4,2,2,2,2,2,3,3,4
a476,3,1,1,2,3,2,2,1,3,1,2
a477,2,3,3,1,1,2,3,2,1,1,3
a478,2,2,3,2,2,2,2,2,2,3,2
a479,2,2,4,3,3,2,3,2,3,3,4
a480,2,3,1,3,4,1,2,1,2,3,4
a481,3,2,2,1,2,2,2,2,1,3,4
a482,2,3,1,3,4,1,2,1,2,3,3
a483,2,1,3,2,3,1,2,1,3,2,3
a484,2,2,1,1,1,1,2,2,1,3,2
a485,3,1,1,3,3,2,2,2,3,3,3
a486,1,1,1,2,1,1,3,3,1,1,2
a487,3,2,2,3,2,1,1,2,3,3,4
a488,2,2,4,3,2,2,2,1,3,1,3
a489,3,1,1,3,3,2,2,2,3,3,2
a490,1,3,1,3,1,1,1,3,2,2,3
a491,2,3,2,1,2,1,2,1,2,3,3
a492,2,1,1,1,1,1,1,2,2,2,2
a493,1,3,3,2,2,1,2,3,2,1,3
a494,3,3,4,3,4,2,3,3,3,3,4
a495,1,3,3,2,2,2,2,1,3,1,2
a496,1,3,2,1,2,2,1,1,2,1,1
a497,2,2,1,2,3,1,2,2,2,1,2
a498,1,3,1,2,3,1,2,2,2,2,3
a499,2,1,1,1,2,1,1,1,2,1,3
a500,2,2,2,1,4,2,1,3,1,2,4
